,site_info,,,,,
name,Ord.-Sil. Teel basalt,,,,,
lat,47.1,,,,,
long,95.4,,,,,
mag_dec,1.2,,,,,
sample_name,.1a,.2a,.5a,.6a,.7a,.8a
local_id,Z52,Z52,Z52,Z52,Z52,Z52
comment,,,,,,
strat_level,739.9,738.9,738.6,,,
core_strike,204,179,168,,,
core_dip,56,12,49,,,
bedding_strike,0,0,0,,,
bedding_dip,28,28,28,,,
mass,1,1,1,,,
runs,NRM    136.6  20.0 133.2 -00.4 3.41E-03 000.8 059.0  66.5 2.948089 3.205346 2.412916 hargrave 2014-11-19 15:15:31;LN2    173.0 -33.1 191.5 -32.6 1.17E-03 000.9 045.2  03.7 0.877257 1.015243 1.253972 hargrave 2014-11-24 16:55:29;TT 100 174.3 -34.4 193.4 -33.0 1.18E-03 000.8 045.1  02.0 0.594544 0.730650 1.428172 hargrave 2014-12-03 16:35:45;TT 150 175.9 -36.1 195.9 -33.7 1.19E-03 001.2 044.8 -00.1 0.715666 1.008439 2.217307 hargrave 2015-01-07 13:26:32;TT 200 176.5 -37.5 197.3 -34.6 1.21E-03 001.1 044.1 -01.4 0.686015 1.032372 2.119508 hargrave 2015-01-09 15:10:17;TT 250 177.5 -38.6 198.9 -35.1 1.21E-03 002.1 043.8 -02.7 2.744211 2.957539 2.091576 hargrave 2015-01-12 15:55:45;TT 300 179.3 -38.5 200.2 -34.2 1.21E-03 001.2 044.9 -03.7 1.183466 1.387748 1.782944 hargrave 2015-01-13 14:32:59;TT 350 183.0 -38.0 202.7 -32.2 1.21E-03 001.2 047.1 -05.6 1.167389 1.418442 1.937132 hargrave 2015-01-14 18:48:47;TT 400 183.4 -38.6 203.4 -32.4 1.22E-03 002.0 046.9 -06.2 2.916762 2.703703 1.702309 hargrave 2015-01-16 15:21:59;TT 425 184.2 -37.8 203.5 -31.5 1.21E-03 003.3 047.9 -06.2 5.057864 4.792437 1.318646 hargrave 2015-01-19 14:06:17;TT 450 183.5 -38.7 203.5 -32.5 1.20E-03 001.3 046.9 -06.3 1.698027 1.644322 1.211211 hargrave 2015-01-20 19:57:44;TT 475 185.0 -36.8 203.6 -30.3 1.18E-03 001.3 049.1 -06.1 1.760772 1.701322 1.195602 hargrave 2015-01-21 13:34:35;TT 500 184.8 -35.9 202.8 -29.6 1.16E-03 001.5 049.7 -05.4 2.121087 2.053885 1.046334 hargrave 2015-01-22 10:08:54;TT 515 184.3 -34.7 201.7 -28.8 1.13E-03 002.6 050.4 -04.3 3.979704 3.258039 0.991627 hargrave 2015-01-22 15:14:03;TT 530 183.8 -33.4 200.5 -27.9 1.11E-03 001.1 051.1 -03.2 1.495719 1.368918 0.841744 hargrave 2015-01-22 21:19:17 ,NRM    188.9 -06.6 191.1 -02.3 3.94E-04 000.8 097.1 -08.3 0.460595 0.148327 0.345417 hargrave 2014-11-19 15:17:12 ;LN2    185.0 -08.2 188.5 -05.5 3.97E-04 001.0 093.0 -09.1 0.619257 0.178899 0.356261 hargrave 2014-11-24 16:57:07 ;TT 100 182.8 -10.4 187.5 -08.5 4.06E-04 001.1 090.3 -10.7 0.726625 0.164341 0.329182 hargrave 2014-12-03 16:37:28 ;TT 150 182.4 -14.2 189.0 -11.9 4.24E-04 001.7 089.2 -14.3 1.200705 0.216784 0.334273 hargrave 2015-01-07 13:28:03 ;TT 200 179.9 -15.2 187.3 -14.0 4.23E-04 000.9 086.5 -14.8 0.615616 0.183680 0.260173 hargrave 2015-01-09 15:11:59 ;TT 250 181.4 -14.7 188.4 -12.9 4.14E-04 000.7 088.1 -14.7 0.474747 0.237778 0.197863 hargrave 2015-01-12 15:57:19 ;TT 300 179.9 -03.7 181.8 -03.8 3.76E-04 000.9 088.9 -03.5 0.567586 0.145254 0.188187 hargrave 2015-01-13 14:35:32 ;TT 350 179.8  03.2 178.5  02.1 3.62E-04 000.5 090.3  03.2 0.289447 0.145051 0.141996 hargrave 2015-01-14 18:50:22 ;TT 400 181.0  07.0 177.7  06.1 3.60E-04 002.1 092.2  06.7 1.292871 0.122455 0.136642 hargrave 2015-01-16 15:23:27 ;TT 425 180.4  08.2 176.6  06.9 3.58E-04 000.6 091.9  08.0 0.373430 0.080484 0.157999 hargrave 2015-01-19 14:07:47 ;TT 450 179.3  08.8 175.4  06.9 3.58E-04 001.6 090.9  08.8 0.983642 0.105177 0.114892 hargrave 2015-01-20 19:59:08 ;TT 475 181.3  09.8 176.6  08.6 3.56E-04 000.8 093.1  09.3 0.497448 0.093509 0.151807 hargrave 2015-01-21 13:36:00 ;TT 500 182.9  10.7 177.7  10.2 3.50E-04 000.6 094.9  09.9 0.314141 0.102587 0.178425 hargrave 2015-01-22 10:10:25 ;TT 515 179.4  10.0 174.9  08.0 3.38E-04 001.9 091.3  10.0 1.106988 0.087696 0.105446 hargrave 2015-01-22 15:15:28 ;TT 530 179.5  10.4 174.8  08.4 3.29E-04 001.5 091.5  10.3 0.846601 0.099734 0.086550 hargrave 2015-01-22 21:20:46 ,,,,
